id,nombre,programa,anio,fuente,definicion,metodo_calculo,unidad_medida,nivel,notas,ultima_actualizacion
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,Porcentaje de certificados y reconocimientos ambientales emitidos,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SAA.01,2026-02-05
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,Porcentaje de solicitudes de Certificado y Reconocimiento Ambiental atendidas,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SAA.02,2026-02-05
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,Porcentaje de acciones de promoción para la certificación ambiental,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SAA.03,2026-02-05
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,Porcentaje de acciones de supervisión a procesos de certificación y reconocimiento realizadas,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SAA.04,2026-02-05
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,Porcentaje de auditores ambientales supervisados,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SAA.05,2026-02-05
sii-01-porcentaje-de-visitas-de-verificacion-co-g005-2025,Porcentaje de visitas de verificación con Cumplimiento de las medidas dictadas en acuerdos y resoluciones derivados de los procedimientos administrativos iniciados en materia industrial,G005,2025,POA_2025.xlsx - Avance,,,Visitas,Actividad,ID interno: SII.01,2026-02-05
sii-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2025,Porcentaje de acciones de inspección realizadas al universo del padrón de instalaciones de jurisdicción federal registradas por la PROFEPA,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SII.02,2026-02-05
sii-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2025,"Porcentaje de acciones de Inspección y verificación realizadas sobre la cuales la PROFEPA tiene competencia como autoridad, conforme a las prioridades de la estrategia establecida en materia de inspección industrial",G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SII.03,2026-02-05
sii-04-porcentaje-de-revision-de-mercancias-cuy-g005-2025,"Porcentaje de revisión de mercancías cuya importación, exportación y reexportación está sujeta a regulación por parte de la Secretaría de Medio Ambiente y Recursos Naturales",G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SII.04,2026-02-05
sii-05-emplazamientos-realizados-a-procedimient-g005-2025,Emplazamientos realizados a procedimientos iniciados en 2024 y años anteriores,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SII.05,2026-02-05
sii-06-simulacros-para-evaluar-los-planes-de-re-g005-2025,Simulacros para evaluar los Planes de Respuesta a emergencias químicas,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SII.06,2026-02-05
sj-01-porcentaje-de-denuncias-populares-en-mat-g005-2025,Porcentaje de denuncias populares en materia ambiental concluidas,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SJ.01,2026-02-05
sj-02-porcentaje-de-resolucion-de-procedimient-g005-2025,Porcentaje de resolución de procedimientos administrativos de ejercicios anteriores al corriente,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SJ.02,2026-02-05
sj-03-porcentaje-de-resoluciones-emitidas-a-lo-g005-2025,Porcentaje de resoluciones emitidas a los recursos de revisión,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SJ.03,2026-02-05
sj-04-porcentaje-personas-contactadas-en-las-j-g005-2025,Porcentaje personas contactadas en las Jornadas Ambientales,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SJ.04,2026-02-05
sj-05-porcentaje-de-resolucion-a-las-solicitud-g005-2025,Porcentaje de resolución a las solicitudes de conmutación de multas,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SJ.05,2026-02-05
sj-06-numero-de-denuncias-y-querellas-presenta-g005-2025,Número de denuncias y querellas presentadas por la Procuraduría,G005,2025,POA_2025.xlsx - Avance,,,Porcentaje,Actividad,ID interno: SJ.06,2026-02-05
