indicator_id,periodo,valor,meta,avance_porcentual,entidad,categoria,fuente_detalle
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-03,37.0,37.0,100.0,Nacional,,POA Avance - Marzo
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-04,28.0,16.0,175.0,Nacional,,POA Avance - Abril
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-05,80.0,23.0,347.83,Nacional,,POA Avance - Mayo
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-06,36.0,31.0,116.13,Nacional,,POA Avance - Junio
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-07,15.0,39.0,38.46,Nacional,,POA Avance - Julio
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-08,65.0,48.0,135.42,Nacional,,POA Avance - Agosto
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-09,40.0,55.0,72.73,Nacional,,POA Avance - Septiembre
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-10,0.0,64.0,0.0,Nacional,,POA Avance - Octubre
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-11,47.0,63.0,74.6,Nacional,,POA Avance - Noviembre
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-12,46.0,24.0,191.67,Nacional,,POA Avance - Diciembre
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025,394.0,400.0,98.5,Nacional,,POA Avance - Acumulado anual
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025-01,103.0,39.0,264.1,Nacional,,POA Avance - Enero
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025-02,90.0,61.0,147.54,Nacional,,POA Avance - Febrero
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025-03,62.0,72.0,86.11,Nacional,,POA Avance - Marzo
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025-04,61.0,83.0,73.49,Nacional,,POA Avance - Abril
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025-05,87.0,98.0,88.78,Nacional,,POA Avance - Mayo
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025-06,48.0,104.0,46.15,Nacional,,POA Avance - Junio
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025-07,136.0,103.0,132.04,Nacional,,POA Avance - Julio
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025-08,98.0,100.0,98.0,Nacional,,POA Avance - Agosto
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025-09,73.0,89.0,82.02,Nacional,,POA Avance - Septiembre
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025-10,166.0,76.0,218.42,Nacional,,POA Avance - Octubre
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025-11,43.0,60.0,71.67,Nacional,,POA Avance - Noviembre
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025-12,29.0,40.0,72.5,Nacional,,POA Avance - Diciembre
saa-02-porcentaje-de-solicitudes-de-certificado-g005-2025,2025,996.0,925.0,107.68,Nacional,,POA Avance - Acumulado anual
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025-01,95.0,95.0,100.0,Nacional,,POA Avance - Enero
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025-02,102.0,102.0,100.0,Nacional,,POA Avance - Febrero
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025-03,211.0,211.0,100.0,Nacional,,POA Avance - Marzo
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025-04,63.0,74.0,85.14,Nacional,,POA Avance - Abril
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025-05,143.0,92.0,155.43,Nacional,,POA Avance - Mayo
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025-06,116.0,103.0,112.62,Nacional,,POA Avance - Junio
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025-07,0.0,102.0,0.0,Nacional,,POA Avance - Julio
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025-08,213.0,100.0,213.0,Nacional,,POA Avance - Agosto
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025-09,83.0,98.0,84.69,Nacional,,POA Avance - Septiembre
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025-10,47.0,89.0,52.81,Nacional,,POA Avance - Octubre
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025-11,77.0,83.0,92.77,Nacional,,POA Avance - Noviembre
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025-12,168.0,51.0,329.41,Nacional,,POA Avance - Diciembre
saa-03-porcentaje-de-acciones-de-promocion-para-g005-2025,2025,1318.0,1200.0,109.83,Nacional,,POA Avance - Acumulado anual
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025-01,46.0,39.0,117.95,Nacional,,POA Avance - Enero
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025-02,66.0,68.0,97.06,Nacional,,POA Avance - Febrero
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025-03,98.0,90.0,108.89,Nacional,,POA Avance - Marzo
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025-04,109.0,99.0,110.1,Nacional,,POA Avance - Abril
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025-05,97.0,113.0,85.84,Nacional,,POA Avance - Mayo
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025-06,127.0,127.0,100.0,Nacional,,POA Avance - Junio
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025-07,106.0,128.0,82.81,Nacional,,POA Avance - Julio
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025-08,222.0,133.0,166.92,Nacional,,POA Avance - Agosto
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025-09,102.0,122.0,83.61,Nacional,,POA Avance - Septiembre
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025-10,71.0,102.0,69.61,Nacional,,POA Avance - Octubre
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025-11,70.0,84.0,83.33,Nacional,,POA Avance - Noviembre
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025-12,114.0,65.0,175.38,Nacional,,POA Avance - Diciembre
saa-04-porcentaje-de-acciones-de-supervision-a-g005-2025,2025,1228.0,1170.0,104.96,Nacional,,POA Avance - Acumulado anual
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025-01,4.0,3.0,133.33,Nacional,,POA Avance - Enero
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025-02,4.0,3.0,133.33,Nacional,,POA Avance - Febrero
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025-03,4.0,4.0,100.0,Nacional,,POA Avance - Marzo
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025-04,4.0,7.0,57.14,Nacional,,POA Avance - Abril
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025-05,8.0,7.0,114.29,Nacional,,POA Avance - Mayo
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025-06,8.0,6.0,133.33,Nacional,,POA Avance - Junio
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025-07,9.0,7.0,128.57,Nacional,,POA Avance - Julio
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025-08,5.0,5.0,100.0,Nacional,,POA Avance - Agosto
saa-05-porcentaje-de-auditores-ambientales-supe-g005-2025,2025-09,6.0,4.0,150.0,Nacional,,POA Avance - Septiembre
