id,nombre,programa,anio,fuente,definicion,metodo_calculo,unidad_medida,nivel,notas,ultima_actualizacion
spa-01-porcentaje-de-certificados-y-reconocimie-g005-2026,Porcentaje de certificados y reconocimientos ambientales emitidos,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SPA.01,2026-03-31
spa-06-porcentaje-de-empresas-e-instituciones-q-g005-2026,Porcentaje de empresas e instituciones que participaron en eventos de capacitación en materia de prevención ambiental,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SPA.06,2026-03-31
spa-07-acciones-de-promocion-jornadas-por-la-c-g005-2026,"Acciones de promoción (Jornadas por la certificación, salas informativas, visitas personalizadas de promoción)",G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SPA.07,2026-03-31
sivi-01-porcentaje-de-visitas-de-verificacion-co-g005-2026,Porcentaje de visitas de verificación con cumplimiento de las medidas dictadas en acuerdos y resoluciones derivados de los procedimientos administrativos iniciados en materia industrial,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SIVI.01,2026-03-31
sivi-02-porcentaje-de-acciones-de-inspeccion-rea-g005-2026,Porcentaje de acciones de inspección realizadas al universo del padrón de instalaciones de jurisdicción federal registradas por la PROFEPA,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SIVI.02,2026-03-31
sivi-03-porcentaje-de-acciones-de-inspeccion-y-v-g005-2026,"Porcentaje de acciones de inspección y verificación realizadas sobre la cuales la PROFEPA tiene competencia como autoridad, conforme a las prioridades de la estrategia establecida en materia de inspección industrial",G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SIVI.03,2026-03-31
sivi-04-porcentaje-de-revision-de-mercancias-cuy-g005-2026,"Porcentaje de revisión de mercancías cuya importación, exportación y reexportación está sujeta a regulación por parte de la Secretaría de Medio Ambiente y Recursos Naturales",G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SIVI.04,2026-03-31
sivi-06-porcentaje-de-simulacros-para-evaluar-lo-g005-2026,Porcentaje de simulacros para evaluar los Planes de Respuesta a emergencias químicas,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SIVI.06,2026-03-31
sivi-07-porcentaje-de-solicitudes-de-aprobacione-g005-2026,"Porcentaje de solicitudes de aprobaciones para los laboratorios de pruebas y/o ensayo, unidades de verificación y organismos de certificación",G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SIVI.07,2026-03-31
sivi-08-porcentaje-de-revisiones-evaluaciones-y-g005-2026,"Porcentaje de revisiones, evaluaciones y, en su caso, certificación de vehículos nuevos en planta",G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SIVI.08,2026-03-31
sleja-01-porcentaje-de-denuncias-populares-en-mat-g005-2026,Porcentaje de denuncias populares en materia ambiental concluidas,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SLEJA.01,2026-03-31
corpa-01-porcentaje-de-resolucion-de-procedimient-g005-2026,Porcentaje de resolución de procedimientos administrativos de ejercicios anteriores al corriente,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: CORPA.01,2026-03-31
sleja-03-porcentaje-de-resoluciones-emitidas-a-lo-g005-2026,Porcentaje de resoluciones emitidas a los recursos de revisión,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SLEJA.03,2026-03-31
sleja-04-acciones-de-difusion-para-la-promocion-y-g005-2026,Acciones de difusión para la promoción y participación ciudadana en el cuidado del medio ambiente a través de Jornadas Estudiantiles,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SLEJA.04,2026-03-31
sleja-05-porcentaje-de-resolucion-a-las-solicitud-g005-2026,"Porcentaje de resolución a las solicitudes de conmutación, revocación  o modificación de multas",G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SLEJA.05,2026-03-31
sleja-06-porcentaje-de-denuncias-y-querellas-pres-g005-2026,Porcentaje de denuncias y querellas presentadas por la Procuraduría,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SLEJA.06,2026-03-31
sleja-07-porcentaje-de-sentencias-favorables-not-g005-2026,Porcentaje de sentencias  favorables notificadas por el Tribunal Federal de Justicia Administrativa,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SLEJA.07,2026-03-31
srn-01-porcentaje-de-municipios-y-alcaldias-con-g005-2026,"Porcentaje de municipios y alcaldías con acciones de inspección, operativos y CVAP en materia de recursos naturales",G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SRN.01,2026-03-31
srn-02-porcentaje-de-anp-con-acciones-de-inspec-g005-2026,"Porcentaje de ANP con acciones de inspección, operativos y/o CVAPs en materia de recursos naturales.Recorridos de vigilancia en materia de recursos naturales",G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SRN.02,2026-03-31
srn-03-porcentaje-de-inspecciones-realizadas-en-g005-2026,Porcentaje de inspecciones realizadas en materia de recursos naturales,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SRN.03,2026-03-31
srn-04-porcentaje-de-recorridos-de-vigilancia-r-g005-2026,Porcentaje de recorridos de vigilancia realizados en materia de recursos naturales,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SRN.04,2026-03-31
srn-05-porcentaje-de-operativos-realizados-en-m-g005-2026,Porcentaje de operativos realizados en materia de recursos naturales,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: SRN.05,2026-03-31
corpa-02-porcentaje-de-comites-de-vigilancia-ambi-g005-2026,Porcentaje de Comités de Vigilancia Ambiental Participativa en operación,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: CORPA.02,2026-03-31
corpa-03-porcentaje-de-resoluciones-con-reparacio-g005-2026,Porcentaje de resoluciones con reparación del daño como medida de aplicación,G005,2026,POA_2026_feb.xlsx - POA_2026,,,,Actividad,ID interno: CORPA.03,2026-03-31
