indicator_id,periodo,valor,meta,avance_porcentual,entidad,categoria,fuente_detalle
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-03,37.0,37.0,100.0,Nacional,,POA Avance - Marzo
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-04,28.0,16.0,175.0,Nacional,,POA Avance - Abril
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-05,80.0,23.0,347.83,Nacional,,POA Avance - Mayo
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-06,36.0,31.0,116.13,Nacional,,POA Avance - Junio
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-07,15.0,39.0,38.46,Nacional,,POA Avance - Julio
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-08,65.0,48.0,135.42,Nacional,,POA Avance - Agosto
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-09,40.0,55.0,72.73,Nacional,,POA Avance - Septiembre
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-10,0.0,64.0,0.0,Nacional,,POA Avance - Octubre
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-11,47.0,63.0,74.6,Nacional,,POA Avance - Noviembre
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-12,46.0,24.0,191.67,Nacional,,POA Avance - Diciembre
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025,394.0,400.0,98.5,Nacional,,POA Avance - Acumulado anual
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-03,1.0,1.0,100.0,Aguascalientes,,POA Avance - Marzo - Aguascalientes
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-05,2.0,0.0,,Aguascalientes,,POA Avance - Mayo - Aguascalientes
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-08,3.0,1.0,300.0,Aguascalientes,,POA Avance - Agosto - Aguascalientes
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-09,0.0,1.0,0.0,Aguascalientes,,POA Avance - Septiembre - Aguascalientes
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-10,0.0,2.0,0.0,Aguascalientes,,POA Avance - Octubre - Aguascalientes
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-11,0.0,2.0,0.0,Aguascalientes,,POA Avance - Noviembre - Aguascalientes
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-12,0.0,1.0,0.0,Aguascalientes,,POA Avance - Diciembre - Aguascalientes
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025,6.0,8.0,75.0,Aguascalientes,,POA Avance - Acumulado anual - Aguascalientes
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-03,1.0,1.0,100.0,Baja California,,POA Avance - Marzo - Baja California
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-04,0.0,1.0,0.0,Baja California,,POA Avance - Abril - Baja California
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-05,0.0,1.0,0.0,Baja California,,POA Avance - Mayo - Baja California
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-06,0.0,1.0,0.0,Baja California,,POA Avance - Junio - Baja California
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-07,0.0,1.0,0.0,Baja California,,POA Avance - Julio - Baja California
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-08,0.0,2.0,0.0,Baja California,,POA Avance - Agosto - Baja California
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-09,1.0,3.0,33.33,Baja California,,POA Avance - Septiembre - Baja California
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-10,0.0,4.0,0.0,Baja California,,POA Avance - Octubre - Baja California
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-11,2.0,4.0,50.0,Baja California,,POA Avance - Noviembre - Baja California
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-12,1.0,1.0,100.0,Baja California,,POA Avance - Diciembre - Baja California
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025,5.0,19.0,26.32,Baja California,,POA Avance - Acumulado anual - Baja California
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-03,1.0,1.0,100.0,Baja California Sur,,POA Avance - Marzo - Baja California Sur
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-09,0.0,1.0,0.0,Baja California Sur,,POA Avance - Septiembre - Baja California Sur
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-10,0.0,1.0,0.0,Baja California Sur,,POA Avance - Octubre - Baja California Sur
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-11,0.0,1.0,0.0,Baja California Sur,,POA Avance - Noviembre - Baja California Sur
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-12,0.0,1.0,0.0,Baja California Sur,,POA Avance - Diciembre - Baja California Sur
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025,1.0,5.0,20.0,Baja California Sur,,POA Avance - Acumulado anual - Baja California Sur
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-03,2.0,2.0,100.0,Campeche,,POA Avance - Marzo - Campeche
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-05,1.0,0.0,,Campeche,,POA Avance - Mayo - Campeche
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-06,1.0,0.0,,Campeche,,POA Avance - Junio - Campeche
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-10,0.0,1.0,0.0,Campeche,,POA Avance - Octubre - Campeche
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-11,0.0,1.0,0.0,Campeche,,POA Avance - Noviembre - Campeche
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025,4.0,4.0,100.0,Campeche,,POA Avance - Acumulado anual - Campeche
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-03,1.0,1.0,100.0,Chiapas,,POA Avance - Marzo - Chiapas
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-04,1.0,0.0,,Chiapas,,POA Avance - Abril - Chiapas
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-05,1.0,0.0,,Chiapas,,POA Avance - Mayo - Chiapas
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-06,3.0,0.0,,Chiapas,,POA Avance - Junio - Chiapas
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-08,2.0,1.0,200.0,Chiapas,,POA Avance - Agosto - Chiapas
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-09,2.0,1.0,200.0,Chiapas,,POA Avance - Septiembre - Chiapas
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-10,0.0,1.0,0.0,Chiapas,,POA Avance - Octubre - Chiapas
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-11,1.0,1.0,100.0,Chiapas,,POA Avance - Noviembre - Chiapas
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-12,0.0,1.0,0.0,Chiapas,,POA Avance - Diciembre - Chiapas
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025,11.0,6.0,183.33,Chiapas,,POA Avance - Acumulado anual - Chiapas
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-03,1.0,1.0,100.0,Chihuahua,,POA Avance - Marzo - Chihuahua
saa-01-porcentaje-de-certificados-y-reconocimie-g005-2025,2025-04,1.0,1.0,100.0,Chihuahua,,POA Avance - Abril - Chihuahua
